decision_id,timestamp,mint,trigger_type,side,predicted_fees_usd,predicted_impact_usd,tp_usd,follow_through_score,size_sol,size_usd,confidence,expected_ev_usd,success_probability,rank,wallet,wallet_tier,datetime
9,1761773791,2eb5d26d1173d6bc7382e4af7b962a3b0bf3263e332940aafc55bf201d1af5ff,copy,0,0.3141,2.5421,1.0000,78,0.0190,3.7362,78,1.3186,0.0000,,99127dc30064bfbfcf5d45956d50d55e040572563b0914cf165175eecd3f2549,0,2025-10-29 21:36:31
10,1761773875,d33a721e6b567c11a11947a9be8d158f5ff2f5f5f05c1f4fa86a312bfeafd552,copy,0,0.3284,1.6497,1.0000,90,0.0214,4.2145,90,1.1213,0.0000,,18c3f0de470beb3effade4a647fc33a3e22ed81667d2bf28924bbbebf575e14c,0,2025-10-29 21:37:55
11,1761773937,b8aedb55bba922bd128891807fe54e040161149a769ca8aa26f638f24db79b0f,copy,0,0.3366,1.0951,1.0000,100,0.0228,4.4861,100,1.3163,0.0000,,3e058245488b35fb6d2e176dcab8979db548919a69e8741473459a6fa0f97d48,1,2025-10-29 21:38:57
12,1761773988,3db41b59758689f45a47eb3f463570a55b4e622647515e8dc272cd5676c20b0f,copy,0,0.2941,1.3616,1.0000,61,0.0156,3.0695,61,0.7802,0.0000,,18c3f0de470beb3effade4a647fc33a3e22ed81667d2bf28924bbbebf575e14c,0,2025-10-29 21:39:48
13,1761774142,c93692802cfc4661dd806576293d4176f998dbc486bfaa3bd2bc1ca2adcedf1f,copy,0,0.3232,2.5337,1.0000,86,0.0206,4.0397,86,1.1964,0.0000,,5b08ef1e143656f79016da12d3ab88c19bab67e7edf8b86b37dcb8f00ccf210d,0,2025-10-29 21:42:22
14,1761774181,631a5d1b74cc274f644b0ea7762efdaea0b1aff006a73ad39a702ada6d74c79f,copy,0,0.3150,2.7395,1.0000,79,0.0192,3.7651,79,1.2800,0.0000,,18c3f0de470beb3effade4a647fc33a3e22ed81667d2bf28924bbbebf575e14c,0,2025-10-29 21:43:01
15,1761774230,aebf66d47b38858cc0465cc12ac5abc3b12a16d64f644023ce384a715c1d0a0f,copy,0,0.3055,3.0038,1.0000,70,0.0176,3.4514,70,1.2167,0.0000,,0283da7e446ef143cc340acad70f1b6280b8cb52d68fb20e1d6b6983ccd4f41a,0,2025-10-29 21:43:50
16,1761774267,c93692802cfc4661dd806576293d4176f998dbc486bfaa3bd2bc1ca2adcedf1f,copy,0,0.3232,2.5612,1.0000,86,0.0206,4.0397,86,1.1964,0.0000,,5b08ef1e143656f79016da12d3ab88c19bab67e7edf8b86b37dcb8f00ccf210d,0,2025-10-29 21:44:27
17,1761774352,1adfa03ffa83e5d03ec9949dd8fc61c8c9c224bce35ff3a757b639036b47ce2f,copy,0,0.3489,0.7422,1.0000,100,0.0250,4.8968,100,1.3151,0.0000,,bfe2530dbc31b49f7b75a9fa70aaa2d1e97f0dd6618240539bb3fccdb0cc9e27,0,2025-10-29 21:45:52
18,1761774383,c93692802cfc4661dd806576293d4176f998dbc486bfaa3bd2bc1ca2adcedf1f,copy,0,0.2971,5.7807,1.0000,64,0.0162,3.1715,64,0.8357,0.0000,,5b08ef1e143656f79016da12d3ab88c19bab67e7edf8b86b37dcb8f00ccf210d,0,2025-10-29 21:46:23
